travel_date,travel_time,travel_from,max_capacity,number_of_tickets,year,month,day
1,435,9,49,1.0,2017,10,17
6,432,9,49,1.0,2017,11,19
6,425,4,49,1.0,2017,11,26
0,430,1,49,5.0,2017,11,27
0,432,9,49,31.0,2017,11,27
0,429,1,49,26.0,2017,11,27
4,310,7,11,1.0,2018,4,20
4,590,7,11,1.0,2018,4,20
4,426,7,49,2.0,2018,4,20
4,360,7,11,1.0,2018,4,20
4,350,7,11,1.0,2018,4,20
4,658,7,11,1.0,2018,4,20
4,410,7,11,2.0,2018,4,20
4,330,7,11,1.0,2018,4,20
4,400,7,11,2.0,2018,4,20
0,426,4,49,3.0,2017,11,27
4,550,7,11,1.0,2018,4,20
3,300,7,11,2.0,2018,4,19
3,320,7,11,11.0,2018,4,19
0,652,4,11,3.0,2017,11,27
3,310,7,11,11.0,2018,4,19
0,650,4,11,1.0,2017,11,27
3,426,7,49,2.0,2018,4,19
3,651,7,11,1.0,2018,4,19
3,435,7,11,1.0,2018,4,19
3,500,7,11,1.0,2018,4,19
3,330,7,11,1.0,2018,4,19
2,310,7,11,1.0,2018,4,18
2,300,7,11,1.0,2018,4,18
2,426,7,49,1.0,2018,4,18
2,400,7,11,2.0,2018,4,18
2,500,7,11,1.0,2018,4,18
2,1143,7,49,1.0,2018,4,18
2,330,7,11,1.0,2018,4,18
1,320,7,11,1.0,2018,4,17
1,422,7,49,1.0,2018,4,17
1,400,7,11,2.0,2018,4,17
1,410,7,11,1.0,2018,4,17
1,426,7,49,1.0,2018,4,17
1,390,7,11,1.0,2018,4,17
1,440,7,11,1.0,2018,4,17
1,330,7,11,1.0,2018,4,17
0,310,7,11,1.0,2018,4,16
0,300,7,11,1.0,2018,4,16
0,426,7,49,1.0,2018,4,16
0,424,7,49,1.0,2018,4,16
0,1145,7,49,1.0,2018,4,16
0,435,7,11,1.0,2018,4,16
0,330,7,11,1.0,2018,4,16
6,320,7,11,11.0,2018,4,15
6,300,7,11,4.0,2018,4,15
6,310,7,11,11.0,2018,4,15
6,1144,7,49,1.0,2018,4,15
6,424,7,49,1.0,2018,4,15
6,400,7,11,1.0,2018,4,15
6,330,7,11,1.0,2018,4,15
5,310,7,11,9.0,2018,4,14
5,320,7,11,6.0,2018,4,14
5,419,7,49,1.0,2018,4,14
5,426,7,49,5.0,2018,4,14
0,428,9,49,3.0,2017,11,27
5,340,7,11,1.0,2018,4,14
5,330,7,11,2.0,2018,4,14
4,320,7,11,11.0,2018,4,13
4,300,7,11,1.0,2018,4,13
4,310,7,11,4.0,2018,4,13
4,540,7,11,1.0,2018,4,13
4,426,7,49,1.0,2018,4,13
4,434,7,49,1.0,2018,4,13
4,427,7,49,1.0,2018,4,13
4,330,7,11,1.0,2018,4,13
1,300,7,11,11.0,2018,12,4
1,320,7,11,11.0,2018,12,4
0,390,4,11,1.0,2017,11,27
0,390,5,11,1.0,2017,11,27
0,435,9,49,11.0,2017,11,27
0,424,1,49,5.0,2017,11,27
1,310,7,11,11.0,2018,12,4
1,428,7,49,1.0,2018,12,4
1,480,7,49,1.0,2018,12,4
1,426,7,49,1.0,2018,12,4
1,434,7,49,1.0,2018,12,4
1,590,7,11,1.0,2018,12,4
1,450,7,11,1.0,2018,12,4
1,657,7,11,1.0,2018,12,4
1,330,7,11,1.0,2018,12,4
6,320,7,11,1.0,2018,11,4
6,310,7,11,8.0,2018,11,4
6,300,7,11,1.0,2018,11,4
1,510,4,11,1.0,2017,11,28
6,422,7,49,1.0,2018,11,4
6,590,7,11,3.0,2018,11,4
6,661,7,11,1.0,2018,11,4
6,390,7,11,1.0,2018,11,4
6,431,7,49,1.0,2018,11,4
6,658,7,11,1.0,2018,11,4
6,330,7,11,1.0,2018,11,4
1,432,9,49,11.0,2017,11,28
1,429,1,49,10.0,2017,11,28
3,310,7,11,6.0,2018,10,4
3,300,7,11,1.0,2018,10,4
3,426,7,49,6.0,2018,10,4
3,400,7,11,1.0,2018,10,4
1,426,4,49,1.0,2017,11,28
3,340,7,11,1.0,2018,10,4
3,360,7,11,1.0,2018,10,4
3,330,7,11,1.0,2018,10,4
1,310,7,11,2.0,2018,9,4
1,300,7,11,1.0,2018,9,4
1,426,7,49,2.0,2018,9,4
1,1143,7,49,1.0,2018,9,4
1,390,7,11,2.0,2018,9,4
1,330,7,11,1.0,2018,9,4
5,310,7,11,2.0,2018,8,4
5,426,7,49,4.0,2018,8,4
5,550,7,11,1.0,2018,8,4
5,423,7,49,1.0,2018,8,4
5,330,7,11,1.0,2018,8,4
5,424,7,49,1.0,2018,8,4
1,428,9,49,3.0,2017,11,28
2,426,7,49,1.0,2018,7,4
2,418,7,11,1.0,2018,7,4
2,400,7,11,1.0,2018,7,4
2,390,7,11,2.0,2018,7,4
2,665,7,11,1.0,2018,7,4
1,620,4,11,1.0,2017,11,28
2,330,7,11,1.0,2018,7,4
0,310,7,11,5.0,2018,6,4
0,426,7,49,2.0,2018,6,4
0,350,7,11,1.0,2018,6,4
0,330,7,11,1.0,2018,6,4
4,300,7,11,1.0,2018,5,4
